num_dense_layers,embedding_size,optimizer,loss,precision
4,16,adam,1.8405132293701172,0.09630940109491348
4,32,adam,1.8405132293701172,0.09630940109491348
4,64,adam,1.8405132293701172,0.09630940109491348
5,16,adam,1.8405132293701172,0.09630940109491348
5,32,adam,1.8405132293701172,0.09630940109491348
5,64,adam,1.8405132293701172,0.09630940109491348
6,16,adam,1.8405132293701172,0.09630940109491348
